HOUSEHOLD_ID,REGION,COUNTRY,ENERGY_SOURCE,MONTHLY_USAGE_KWH,YEAR,HOUSEHOLD_SIZE,INCOME_LEVEL,URBAN_RURAL,ADOPTION_YEAR,SUBSIDY_RECEIVED,COST_SAVINGS_USD
H00388,Africa,Egypt,Solar,1219.692,2021,7,Middle,Rural,2020,No,181.032
H02624,North America,Mexico,Hydro,1558.008,2020,5,Middle,Urban,2011,Yes,179.36
H00411,Europe,Spain,Biomass,483.168,2023,4,Middle,Rural,2014,Yes,153.624
H04213,South America,Brazil,Solar,1283.856,2024,7,Middle,Rural,2022,No,199.24
H03430,Europe,Germany,Hydro,1380.564,2020,5,Middle,Urban,2020,Yes,149.336
H02810,Africa,Egypt,Wind,1716.852,2021,8,Middle,Rural,2013,No,228.584
H02595,Australia,New Zealand,Solar,1079.184,2020,2,Middle,Urban,2016,Yes,212.736
H01236,South America,Chile,Biomass,1618.8,2020,4,Middle,Urban,2018,No,272.136
H04976,North America,Mexico,Wind,1532.496,2021,7,Middle,Rural,2015,No,94.584
H02054,Asia,South Korea,Biomass,723.552,2024,6,Middle,Rural,2019,No,17.624
H02908,Asia,China,Hydro,1534.08,2022,6,Middle,Rural,2011,Yes,338.152
H02255,North America,Canada,Geothermal,1699.968,2023,3,Middle,Rural,2016,No,88.344
H03913,Europe,Italy,Biomass,98.268,2020,2,Middle,Urban,2020,Yes,75.232
H02891,Australia,New Zealand,Geothermal,1289.532,2023,4,Middle,Urban,2022,Yes,361.944
H03674,Africa,Egypt,Geothermal,1218.288,2022,1,Middle,Rural,2010,Yes,242.824
H00081,North America,USA,Wind,198.768,2023,7,Middle,Rural,2018,Yes,118.944
H01618,South America,Colombia,Solar,885.084,2021,1,Middle,Urban,2014,Yes,63.752
H01655,Europe,France,Hydro,118.56,2024,4,Middle,Urban,2019,Yes,139.136
H01398,North America,USA,Hydro,242.148,2020,4,Middle,Rural,2011,No,350.192
H04687,Africa,South Africa,Geothermal,136.212,2020,1,Middle,Rural,2020,Yes,177.048
H01293,South America,Chile,Geothermal,140.424,2024,8,Middle,Rural,2010,No,399.296
H02165,North America,Canada,Geothermal,1445.76,2024,3,Middle,Urban,2013,No,271.936
H00813,South America,Argentina,Wind,1013.304,2023,1,Middle,Urban,2017,No,352.728
H03317,South America,Argentina,Hydro,1068.804,2024,7,Middle,Rural,2013,No,264.6
H02560,Africa,Egypt,Wind,828.792,2020,2,Middle,Rural,2014,Yes,33.88
H03575,South America,Peru,Wind,210.48,2020,2,Middle,Rural,2017,No,35.712
H04652,Australia,New Zealand,Geothermal,726.636,2022,6,Middle,Urban,2020,No,62.856
H02673,South America,Colombia,Geothermal,1768.884,2023,7,Middle,Urban,2011,Yes,32.96
H00562,South America,Argentina,Wind,558.72,2021,5,Middle,Rural,2011,No,173.76
H02818,South America,Peru,Wind,1450.644,2024,6,Middle,Rural,2011,No,160.64
H02759,Europe,Italy,Wind,836.664,2024,1,Middle,Rural,2017,Yes,286.608
H01757,South America,Peru,Geothermal,323.592,2021,4,Middle,Rural,2017,Yes,61.392
H00220,South America,Colombia,Geothermal,1311.576,2024,3,Middle,Rural,2021,No,42.336
H04140,Africa,Kenya,Solar,629.22,2020,7,Middle,Urban,2020,No,29.12
H03958,Australia,New Zealand,Wind,1542.696,2021,3,Middle,Rural,2010,No,111.16
H03971,North America,Canada,Hydro,1184.376,2023,6,Middle,Rural,2011,Yes,246.704
H00044,Australia,Australia,Biomass,1040.364,2024,2,Middle,Rural,2015,Yes,273.16
H03002,Australia,New Zealand,Wind,379.188,2022,2,Middle,Urban,2010,Yes,324.976
H00678,Australia,New Zealand,Hydro,1617.924,2022,3,Middle,Rural,2016,Yes,172.504
H00578,Africa,Kenya,Biomass,483.672,2020,1,Middle,Urban,2019,Yes,119.464
H00545,North America,USA,Hydro,1396.656,2020,8,Middle,Urban,2013,No,154.728
H00368,Europe,Spain,Geothermal,431.604,2023,8,Middle,Rural,2010,Yes,201.472
H01613,Africa,Ghana,Solar,948.96,2023,6,Middle,Rural,2013,Yes,277.528
H03717,South America,Peru,Geothermal,1526.436,2021,1,Middle,Urban,2011,No,95.776
H00048,Africa,South Africa,Wind,1702.26,2024,5,Middle,Rural,2024,Yes,350.312
H01535,Asia,Indonesia,Solar,1467.852,2024,2,Middle,Urban,2020,Yes,48.248
H02520,North America,Mexico,Solar,1494.156,2024,8,Middle,Urban,2018,Yes,169.064
H01973,North America,USA,Hydro,1704.684,2022,8,Middle,Urban,2019,No,174.248
H01109,South America,Argentina,Wind,1214.244,2020,2,Middle,Rural,2020,No,390.056
H00096,North America,Canada,Geothermal,979.236,2021,6,Middle,Urban,2012,No,8.336
H01102,North America,Canada,Solar,725.628,2021,7,Middle,Urban,2012,No,154.712
H04255,South America,Chile,Biomass,1525.14,2024,2,Middle,Urban,2011,Yes,321.84
H04926,North America,Canada,Biomass,1049.064,2020,6,Middle,Rural,2012,Yes,381.248
H01150,Asia,China,Solar,814.704,2024,1,Middle,Rural,2011,No,389.376
H03750,Australia,Australia,Solar,1207.248,2023,7,Middle,Urban,2011,Yes,42.832
H02933,Asia,Japan,Solar,1765.032,2021,3,Middle,Urban,2013,No,305.224
H04535,Asia,South Korea,Hydro,712.668,2021,1,Middle,Urban,2021,No,149.848
H04173,Africa,Egypt,Biomass,1117.008,2020,8,Middle,Rural,2010,Yes,362.632
H04006,Africa,South Africa,Hydro,1324.524,2022,4,Middle,Rural,2011,No,149.752
H00587,Asia,South Korea,Solar,354.996,2021,3,Middle,Rural,2019,No,88.768
H02299,South America,Brazil,Hydro,897.468,2020,7,Middle,Rural,2020,No,241.112
H00585,Australia,Australia,Wind,1285.68,2021,5,Middle,Rural,2012,Yes,114.92
H02424,North America,Mexico,Hydro,1284.048,2021,8,Middle,Rural,2015,No,99.16
H01392,Europe,Italy,Biomass,704.688,2024,1,Middle,Urban,2018,Yes,364
H04526,Australia,Australia,Solar,582.564,2024,6,Middle,Urban,2018,Yes,359.128
H04921,Europe,Italy,Wind,1760.688,2020,3,Middle,Rural,2017,No,204.536
H04801,North America,USA,Wind,409.668,2024,1,Middle,Rural,2022,Yes,186.688
H04282,Africa,Egypt,Solar,1709.196,2023,3,Middle,Rural,2010,Yes,151.128
H03339,Africa,Egypt,Solar,1446.516,2020,8,Middle,Rural,2016,Yes,159.704
H02112,Africa,Nigeria,Wind,1618.356,2020,7,Middle,Urban,2013,Yes,331.592
H04863,Europe,Italy,Hydro,1509.444,2021,3,Middle,Rural,2010,No,107.2
H01868,North America,Canada,Hydro,1635.3,2020,1,Middle,Rural,2010,No,16.48
H04881,Africa,Kenya,Geothermal,189.264,2022,2,Middle,Rural,2018,No,75.248
H03902,Europe,Italy,Geothermal,1321.536,2023,5,Middle,Rural,2013,No,168.632
H01096,Australia,Australia,Hydro,1068.912,2024,6,Middle,Urban,2010,Yes,321.296
H01426,Australia,New Zealand,Geothermal,1345.056,2022,1,Middle,Rural,2010,Yes,217.096
H03067,North America,Canada,Wind,500.508,2020,6,Middle,Urban,2020,Yes,91.112
H04520,Africa,Nigeria,Biomass,1624.536,2024,3,Middle,Rural,2012,Yes,340.336
H00808,South America,Peru,Geothermal,89.136,2020,3,Middle,Urban,2017,Yes,88.728
H04744,Europe,UK,Solar,405.12,2023,4,Middle,Rural,2021,No,344.672
H02318,South America,Chile,Wind,1353.276,2020,6,Middle,Urban,2018,No,26
H04742,North America,Canada,Wind,511.932,2021,2,Middle,Urban,2013,Yes,230.624
H01026,Africa,South Africa,Biomass,852.72,2020,4,Middle,Urban,2011,No,383.592
H00882,Europe,UK,Hydro,267.264,2024,8,Middle,Urban,2015,Yes,114.816
H04300,Australia,Australia,Biomass,886.812,2020,3,Middle,Urban,2012,No,221.976
H03671,South America,Argentina,Solar,1231.464,2021,7,Middle,Urban,2021,No,86.512
H04969,North America,Mexico,Wind,467.112,2023,5,Middle,Rural,2013,Yes,286.416
H01457,Africa,Kenya,Wind,1227.012,2022,2,Middle,Urban,2021,Yes,175.072
H00747,Africa,Egypt,Wind,1305.192,2023,1,Middle,Urban,2021,No,373.52
H00018,Asia,India,Wind,1660.404,2024,3,Middle,Urban,2016,Yes,297.984
H01201,Asia,Indonesia,Wind,1100.124,2020,3,Middle,Rural,2014,Yes,75.992
H01700,North America,Mexico,Solar,952.872,2020,3,Middle,Urban,2017,Yes,394.808
H03227,Asia,Japan,Wind,802.512,2023,2,Middle,Urban,2011,Yes,253.016
H01506,Europe,Italy,Wind,1018.728,2022,4,Middle,Urban,2021,No,142.896
H00811,Africa,Kenya,Wind,1049.52,2021,8,Middle,Urban,2014,No,393.688
H01095,Australia,New Zealand,Hydro,1165.608,2020,8,Middle,Rural,2020,Yes,341.104
H04325,South America,Argentina,Solar,1422.132,2020,3,Middle,Rural,2017,No,167.784
H03677,Africa,Ghana,Wind,1628.388,2023,4,Middle,Urban,2015,Yes,366.016
H02750,Australia,New Zealand,Geothermal,621.264,2020,8,Middle,Urban,2012,No,286.328
H03709,Europe,Italy,Wind,1095.948,2022,2,Middle,Urban,2020,No,354.904
H03019,Australia,New Zealand,Solar,1514.712,2024,6,Middle,Urban,2023,Yes,65.176
H04253,Africa,Ghana,Wind,103.776,2024,5,Middle,Urban,2021,No,225.712
H00804,Africa,Ghana,Biomass,437.58,2024,1,Middle,Urban,2020,No,374.08
H04645,South America,Peru,Wind,1359.684,2020,8,Middle,Urban,2013,Yes,10.904
H02532,Asia,South Korea,Geothermal,933.084,2020,6,Middle,Rural,2019,No,24.28
H00622,Europe,Spain,Solar,1114.572,2024,5,Middle,Rural,2011,No,368.376
H02298,North America,USA,Wind,1147.668,2023,5,Middle,Rural,2010,Yes,324.64
H03829,Asia,South Korea,Wind,751.5,2024,1,Middle,Rural,2015,Yes,124.176
H03652,Australia,Australia,Biomass,1320.924,2020,1,Middle,Rural,2013,Yes,153.8
H02689,Asia,Japan,Solar,1335.312,2024,6,Middle,Rural,2022,No,88.192
H00535,Africa,Egypt,Geothermal,859.56,2022,6,Middle,Urban,2017,No,153.608
H03858,Australia,New Zealand,Geothermal,1267.308,2020,6,Middle,Rural,2018,No,323.824
H01116,Europe,Germany,Biomass,1729.5,2022,1,Middle,Rural,2013,No,384.536
H00766,Asia,South Korea,Wind,1615.764,2020,1,Middle,Rural,2014,Yes,44.936
H01946,Australia,New Zealand,Solar,1447.332,2020,6,Middle,Rural,2014,No,214.032
H03003,South America,Peru,Geothermal,1167.396,2023,6,Middle,Rural,2021,Yes,160.952
H03096,Asia,Japan,Wind,987.828,2021,7,Middle,Urban,2016,No,44.768
H00645,South America,Peru,Solar,370.38,2020,1,Middle,Urban,2015,Yes,39.024
H03746,Europe,Spain,Wind,792.948,2022,1,Middle,Rural,2010,No,11.664
H04094,Europe,Germany,Wind,1766.856,2020,7,Middle,Urban,2010,No,225.256
H00121,Europe,France,Hydro,1147.56,2024,7,Middle,Rural,2017,No,353.392
H04889,Asia,India,Wind,1608.252,2024,1,Middle,Urban,2021,Yes,312.12
H04335,Africa,South Africa,Hydro,1626.456,2021,1,Middle,Rural,2013,No,203.16
H01955,North America,USA,Hydro,1438.2,2022,4,Middle,Urban,2010,No,193.024
H02464,North America,Mexico,Biomass,1437.048,2020,5,Middle,Rural,2016,No,374.672
H01393,North America,USA,Biomass,341.448,2022,3,Middle,Urban,2014,Yes,387.248
H03138,South America,Peru,Biomass,1646.88,2022,8,Middle,Urban,2020,No,291.712
H04774,Asia,Indonesia,Geothermal,647.544,2022,7,Middle,Urban,2020,No,284.752
H03527,Europe,Germany,Hydro,410.976,2023,5,Middle,Urban,2022,Yes,229.488
H03693,Africa,Egypt,Hydro,841.44,2021,8,Middle,Urban,2020,No,395.4
H03186,Australia,Australia,Hydro,1023.144,2024,2,Middle,Rural,2012,Yes,226.472
H04770,Europe,Italy,Hydro,1354.26,2024,4,Middle,Urban,2024,No,87.016
H02711,Europe,Italy,Geothermal,183.624,2022,7,Middle,Urban,2022,Yes,141.064
H02655,Australia,New Zealand,Wind,664.8,2022,3,Middle,Rural,2016,Yes,22.376
H00603,Australia,New Zealand,Biomass,882.588,2023,6,Middle,Rural,2021,Yes,83.224
H04846,Australia,Australia,Hydro,220.416,2024,4,Middle,Urban,2023,No,14.568
H04842,Australia,Australia,Geothermal,1645.812,2023,6,Middle,Urban,2010,Yes,274.744
H00275,Asia,Japan,Solar,413.7,2020,2,Middle,Rural,2017,Yes,165.592
H04054,Africa,Ghana,Geothermal,1101.72,2021,2,Middle,Rural,2010,No,45.312
H04893,Africa,Egypt,Geothermal,1000.548,2023,2,Middle,Rural,2014,No,369.648
H00897,Asia,Indonesia,Solar,1125.744,2023,3,Middle,Rural,2023,Yes,93.304
H00528,North America,Mexico,Solar,1217.436,2023,6,Middle,Rural,2013,Yes,317.064
H03440,Asia,Indonesia,Geothermal,743.844,2020,2,Middle,Rural,2012,Yes,269.96
H04827,Africa,Ghana,Wind,875.232,2023,7,Middle,Rural,2019,No,32.968
H03923,Europe,France,Geothermal,1664.796,2023,5,Middle,Urban,2020,Yes,90.72
H02120,South America,Argentina,Wind,582.612,2023,3,Middle,Rural,2022,Yes,333.944
H03255,Asia,South Korea,Biomass,1231.92,2024,2,Middle,Urban,2014,Yes,276.504
H02017,Australia,New Zealand,Hydro,1243.825,2022,3,Low,Rural,2019,No,249.417
H00627,Europe,France,Biomass,1086.448,2024,2,Low,Rural,2012,No,32.535
H02218,South America,Chile,Wind,739.035,2023,3,Low,Urban,2018,Yes,259.38
H01740,Australia,Australia,Hydro,542.872,2020,8,Low,Urban,2012,Yes,85.302
H02585,Europe,France,Wind,1156.518,2021,6,Low,Rural,2010,Yes,93.276
H00150,Europe,France,Geothermal,986.524,2022,8,Low,Urban,2021,No,137.772
H03249,Africa,South Africa,Geothermal,818.136,2024,4,Low,Rural,2016,No,255.429
H02728,Europe,Italy,Hydro,1058.343,2020,2,Low,Urban,2015,No,21.834
H03687,Europe,UK,Wind,1349.689,2021,2,Low,Urban,2020,No,202.203
H01635,Australia,New Zealand,Wind,479.578,2021,7,Low,Rural,2020,Yes,423.639
H01211,North America,Canada,Hydro,208.934,2023,4,Low,Urban,2023,No,218.043
H00554,North America,USA,Solar,1182.445,2020,3,Low,Urban,2014,Yes,64.566
H02963,Asia,Japan,Wind,1175.933,2020,4,Low,Rural,2015,No,403.344
H02330,Africa,Egypt,Hydro,1468.324,2024,2,Low,Rural,2017,Yes,259.371
H02196,Africa,Ghana,Wind,732.688,2021,3,Low,Rural,2012,Yes,436.239
H00133,Europe,France,Geothermal,1363.241,2023,1,Low,Urban,2021,No,394.542
H00288,Europe,France,Hydro,750.2,2022,1,Low,Urban,2010,Yes,391.635
H01870,North America,Canada,Geothermal,700.865,2021,1,Low,Rural,2018,No,146.871
H03115,Australia,New Zealand,Biomass,1421.926,2024,1,Low,Urban,2010,Yes,11.331
H01619,Europe,UK,Wind,1301.256,2021,8,Low,Rural,2019,No,256.905
H04803,North America,Canada,Wind,1396.263,2023,4,Low,Urban,2018,No,40.824
H03536,Asia,India,Biomass,1302.906,2021,8,Low,Rural,2017,No,364.284
H03912,Europe,Spain,Wind,1541.749,2022,2,Low,Urban,2019,No,271.305
H02108,Europe,Italy,Solar,373.835,2023,3,Low,Rural,2020,Yes,374.355
H00417,Africa,South Africa,Solar,1647.074,2023,5,Low,Rural,2021,No,212.391
H00978,Asia,China,Wind,729.08,2022,1,Low,Rural,2014,No,311.427
H00415,Asia,Japan,Solar,1071.026,2023,5,Low,Urban,2018,Yes,158.598
H00486,Europe,France,Wind,848.023,2023,4,Low,Rural,2011,No,421.164
H01198,Australia,Australia,Geothermal,1145.298,2024,5,Low,Urban,2019,Yes,203.886
H04059,Europe,UK,Hydro,1357.07,2024,4,Low,Urban,2010,No,81.693
H04759,South America,Colombia,Hydro,1270.368,2024,6,Low,Rural,2011,Yes,235.332
H04828,Asia,Indonesia,Wind,676.632,2023,3,Low,Rural,2023,No,322.488
H01188,North America,Canada,Wind,116.105,2024,2,Low,Rural,2017,No,396.252
H00423,South America,Brazil,Solar,128.931,2020,7,Low,Urban,2014,Yes,301.797
H00091,Australia,New Zealand,Solar,443.047,2022,1,Low,Urban,2011,No,11.574
H00684,Europe,Italy,Hydro,1070.19,2021,8,Low,Rural,2015,Yes,94.671
H03946,Africa,Nigeria,Hydro,1014.365,2022,8,Low,Rural,2018,Yes,206.181
H02032,Europe,Germany,Biomass,127.149,2021,7,Low,Urban,2015,No,416.205
H00316,North America,Canada,Hydro,517.737,2021,7,Low,Rural,2018,No,120.267
H01243,Europe,UK,Wind,570.086,2022,3,Low,Urban,2018,No,98.019
H03117,Australia,New Zealand,Solar,766.579,2023,7,Low,Urban,2015,No,432.162
H01651,North America,Mexico,Biomass,209.506,2020,2,Low,Urban,2012,No,351.945
H04002,Australia,Australia,Geothermal,501.028,2022,3,Low,Urban,2014,No,251.073
H02883,North America,Mexico,Geothermal,214.324,2020,5,Low,Urban,2012,Yes,26.883
H04996,Africa,Ghana,Wind,436.48,2021,2,Low,Urban,2010,No,282.753
H02837,Asia,India,Hydro,1008.942,2020,7,Low,Rural,2018,No,439.362
H00600,Africa,Kenya,Wind,204.622,2022,5,Low,Rural,2010,No,43.533
H04997,North America,Canada,Hydro,715.693,2024,2,Low,Urban,2024,Yes,381.681
H00722,Africa,South Africa,Geothermal,975.744,2021,2,Low,Rural,2016,Yes,241.839
H04411,South America,Colombia,Biomass,1590.105,2022,2,Low,Urban,2011,Yes,395.505
H00178,Australia,Australia,Wind,172.755,2023,3,Low,Rural,2022,No,248.544
H01724,Asia,Indonesia,Hydro,195.338,2024,2,Low,Rural,2021,No,329.625
H02329,Australia,New Zealand,Biomass,168.223,2021,4,Low,Urban,2016,No,197.307
H04614,Africa,Egypt,Wind,536.844,2024,6,Low,Urban,2014,Yes,112.824
H00094,Australia,New Zealand,Solar,917.807,2020,6,Low,Urban,2015,Yes,190.404
H03383,Europe,UK,Biomass,1251.25,2021,6,Low,Rural,2011,Yes,183.15
H02940,North America,Mexico,Hydro,948.244,2021,1,Low,Urban,2012,No,333.567
H00890,Europe,Italy,Solar,586.74,2020,1,Low,Rural,2015,No,309.717
H02681,Europe,Italy,Geothermal,1130.239,2020,1,Low,Rural,2014,No,400.626
H01589,Europe,Italy,Geothermal,717.816,2023,2,Low,Urban,2012,Yes,21.996
H03348,North America,Canada,Biomass,1213.949,2023,4,Low,Urban,2017,No,161.802
H01434,South America,Peru,Geothermal,1161.292,2023,7,Low,Urban,2016,Yes,300.573
H00950,Asia,Japan,Solar,1152.811,2020,7,Low,Urban,2010,Yes,255.186
H02844,Asia,South Korea,Biomass,484.44,2021,3,Low,Urban,2014,No,228.825
H03551,Asia,Japan,Wind,1142.79,2021,3,Low,Urban,2020,Yes,142.389
H00136,South America,Peru,Solar,639.76,2023,3,Low,Urban,2015,Yes,264.69
H01361,Asia,Indonesia,Hydro,1463.022,2021,1,Low,Rural,2016,Yes,79.929
H02005,Asia,Japan,Geothermal,356.301,2024,8,Low,Rural,2016,No,322.092
H03796,South America,Chile,Biomass,508.442,2023,7,Low,Urban,2020,Yes,140.112
H02406,Europe,UK,Solar,1228.997,2022,6,Low,Urban,2017,Yes,200.592
H04360,Asia,China,Wind,1527.592,2024,4,Low,Rural,2023,No,294.12
H03708,Australia,Australia,Wind,837.067,2022,5,Low,Urban,2012,Yes,137.547
H02747,South America,Argentina,Wind,839.3,2024,8,Low,Rural,2019,No,327.861
H02171,Europe,Spain,Hydro,1480.622,2022,3,Low,Rural,2017,No,117.558
H03538,North America,Canada,Solar,602.448,2021,5,Low,Rural,2021,No,45.189
H03618,Europe,Spain,Solar,565.07,2020,8,Low,Rural,2018,Yes,238.509
H00292,Europe,UK,Biomass,979.924,2022,8,Low,Urban,2021,No,351.009
H03587,Europe,Italy,Solar,1502.699,2022,1,Low,Rural,2017,Yes,194.4
H03608,South America,Colombia,Wind,197.934,2020,4,Low,Rural,2014,Yes,309.555
H04811,North America,USA,Biomass,649.539,2024,3,Low,Urban,2011,Yes,210.006
H03257,Europe,Spain,Hydro,1168.86,2022,2,Low,Urban,2021,Yes,164.214
H03989,Asia,India,Biomass,551.815,2020,6,Low,Rural,2015,No,342.387
H03241,Australia,New Zealand,Geothermal,770.418,2020,2,Low,Rural,2013,No,409.662
H02615,South America,Brazil,Biomass,1164.944,2020,1,Low,Rural,2015,No,134.28
H04886,Asia,India,Wind,1584.605,2020,3,Low,Rural,2020,Yes,67.005
H03847,South America,Colombia,Biomass,945.043,2024,1,Low,Urban,2010,No,428.22
H00071,Australia,New Zealand,Hydro,136.279,2022,7,Low,Urban,2020,No,110.97
H01127,Europe,France,Solar,682.847,2024,5,Low,Rural,2018,Yes,19.89
H04546,South America,Colombia,Solar,426.635,2022,1,Low,Rural,2010,Yes,394.335
H01213,Asia,South Korea,Hydro,620.543,2023,6,Low,Rural,2022,No,383.787
H03922,North America,Mexico,Biomass,1198.857,2022,4,Low,Rural,2017,No,58.113
H02101,South America,Peru,Solar,941.611,2023,7,Low,Urban,2019,No,286.578
H01363,Africa,Egypt,Solar,142.021,2021,6,Low,Urban,2011,Yes,123.903
H03110,Europe,UK,Hydro,888.437,2024,4,Low,Urban,2012,Yes,13.455
H02111,North America,Mexico,Biomass,464.75,2020,4,Low,Urban,2013,No,119.961
H01042,North America,Canada,Solar,991.364,2023,5,Low,Urban,2017,Yes,77.931
H01877,South America,Argentina,Wind,1095.71,2023,5,Low,Urban,2019,Yes,225.072
H04511,North America,Mexico,Hydro,1497.001,2023,3,Low,Rural,2013,No,125.217
H02797,South America,Peru,Wind,55.814,2021,8,Low,Rural,2017,No,217.305
H04292,North America,USA,Solar,199.595,2023,3,Low,Rural,2017,Yes,418.275
H04567,North America,USA,Solar,329.142,2022,2,Low,Urban,2011,No,258.399
H01663,North America,Mexico,Biomass,782.881,2022,1,Low,Rural,2016,Yes,127.17
H04247,Europe,Spain,Biomass,1055.241,2024,1,Low,Rural,2013,No,380.61
H02174,Europe,Italy,Geothermal,398.398,2023,4,Low,Urban,2021,Yes,20.34
H01413,Australia,Australia,Wind,377.729,2024,7,Low,Urban,2015,No,298.17
H01966,North America,USA,Geothermal,726.11,2024,2,Low,Urban,2021,Yes,288.387
H00372,Australia,New Zealand,Hydro,1249.138,2023,6,Low,Urban,2013,Yes,65.124
H00239,Europe,UK,Wind,1359.424,2024,7,Low,Rural,2013,Yes,296.208
H03401,North America,Mexico,Solar,1020.151,2022,1,Low,Urban,2017,No,60.615
H02068,South America,Peru,Geothermal,1146.409,2024,3,Low,Urban,2021,No,234.045
H04761,Asia,India,Geothermal,1633.093,2022,6,Low,Urban,2022,Yes,162.531
H02296,North America,Mexico,Biomass,1079.276,2022,8,Low,Rural,2015,No,135.459
H03706,Australia,New Zealand,Wind,107.052,2024,1,Low,Rural,2019,No,337.302
H00752,South America,Peru,Solar,1515.162,2023,5,Low,Rural,2017,No,412.839
H00567,Africa,Kenya,Geothermal,1130.107,2024,3,Low,Urban,2023,Yes,106.128
H00052,Europe,Spain,Hydro,975.92,2023,6,Low,Urban,2015,No,109.674
H01045,North America,Canada,Solar,1062.479,2022,1,Low,Urban,2013,No,82.908
H02182,South America,Argentina,Hydro,432.311,2024,8,Low,Rural,2022,Yes,436.554
H00444,Africa,Kenya,Hydro,1620.036,2023,1,Low,Urban,2012,Yes,364.131
H03605,South America,Brazil,Wind,319.275,2024,3,Low,Rural,2023,Yes,155.376
H04201,South America,Argentina,Solar,73.37,2023,7,Low,Rural,2019,No,59.886
H02923,Africa,Ghana,Biomass,1599.576,2021,2,Low,Rural,2018,No,212.229
H04692,Africa,Egypt,Hydro,1377.145,2024,2,Low,Rural,2019,Yes,53.748
H02461,Australia,New Zealand,Biomass,219.681,2024,1,Low,Urban,2010,No,254.664
H00185,North America,Mexico,Geothermal,998.393,2021,5,Low,Urban,2010,No,122.229
H02277,Asia,South Korea,Geothermal,772.101,2021,3,Low,Rural,2018,Yes,45.837
H04055,Australia,Australia,Hydro,1210.341,2024,8,Low,Rural,2012,No,24.795
H02670,Africa,Kenya,Solar,902.484,2024,2,Low,Rural,2017,No,167.724
H03560,North America,Canada,Biomass,1139.006,2021,8,Low,Urban,2016,Yes,15.822
H04012,Africa,South Africa,Solar,1630.046,2021,1,Low,Rural,2014,Yes,301.086
H04260,Europe,France,Solar,127.523,2021,2,Low,Rural,2016,Yes,35.919
H00568,Africa,Kenya,Hydro,870.441,2024,6,Low,Rural,2015,Yes,218.907
H03956,Asia,Indonesia,Wind,535.315,2024,5,Low,Urban,2017,No,114.957
H03839,Europe,France,Geothermal,1027.444,2022,4,Low,Urban,2016,No,96.984
H02861,Africa,Nigeria,Hydro,1644.456,2021,7,Low,Rural,2013,No,298.305
H00777,Asia,China,Hydro,756.195,2023,7,Low,Urban,2012,No,301.428
H04878,Australia,New Zealand,Solar,975.337,2024,8,Low,Rural,2024,Yes,198.765
H03823,Europe,Spain,Geothermal,62.744,2024,5,Low,Rural,2024,Yes,237.87
H01245,Australia,New Zealand,Wind,390.269,2024,5,Low,Rural,2013,No,268.218
H00550,Europe,Germany,Solar,352.11,2023,8,Low,Urban,2023,No,63.819
H03642,North America,Mexico,Hydro,337.172,2024,1,Low,Urban,2020,Yes,131.247
H02348,Africa,Nigeria,Hydro,1463.528,2024,8,Low,Urban,2011,Yes,55.386
H04999,Europe,UK,Geothermal,902.913,2024,2,Low,Urban,2011,No,278.298
H01261,Asia,China,Geothermal,1409.727,2021,5,Low,Rural,2016,No,254.34
H01559,South America,Brazil,Wind,1297.758,2020,2,Low,Urban,2013,No,401.634
H00757,South America,Chile,Biomass,1168.189,2020,8,Low,Urban,2013,Yes,106.974
H03526,Australia,Australia,Wind,1638.403,2020,8,High,Urban,2020,Yes,80.633
H01486,North America,USA,Geothermal,1750.723,2020,7,High,Rural,2020,Yes,311.486
H02481,Africa,Nigeria,Hydro,1059.37,2021,3,High,Urban,2016,No,100.968
H01262,South America,Brazil,Biomass,1321.931,2020,5,High,Rural,2013,Yes,320.698
H04918,Asia,India,Wind,827.554,2020,2,High,Urban,2019,No,240.093
H00013,North America,Canada,Biomass,1367.847,2022,2,High,Rural,2010,No,245.672
H01492,South America,Brazil,Wind,1200.433,2023,5,High,Urban,2014,Yes,61.985
H04606,Africa,South Africa,Geothermal,133.744,2023,6,High,Urban,2021,Yes,224.063
H04596,North America,Mexico,Hydro,181.181,2020,3,High,Urban,2019,No,129.388
H00732,Asia,South Korea,Geothermal,321.607,2020,2,High,Urban,2016,Yes,152.803
H01232,North America,Canada,Geothermal,703.846,2023,2,High,Urban,2021,No,64.225
H01935,Europe,UK,Hydro,1261.078,2021,4,High,Rural,2010,No,94.843
H00492,Australia,Australia,Biomass,573.456,2023,5,High,Urban,2017,Yes,202.335
H00658,Africa,Ghana,Hydro,627.302,2023,4,High,Rural,2023,No,125.02
H02375,Australia,Australia,Hydro,458.575,2023,2,High,Urban,2021,Yes,34.076
H01406,North America,USA,Solar,1577.303,2023,3,High,Rural,2013,Yes,182.952
H02877,South America,Chile,Wind,290.251,2020,1,High,Rural,2012,Yes,93.142
H04924,Europe,Spain,Hydro,812.422,2022,6,High,Urban,2016,Yes,23.884
H01804,Australia,New Zealand,Hydro,186.186,2022,4,High,Rural,2019,Yes,299.271
H03045,South America,Chile,Biomass,1388.478,2020,1,High,Urban,2015,No,39.487
H02418,South America,Brazil,Wind,1342.484,2023,8,High,Urban,2019,No,172.711
H04256,Australia,Australia,Biomass,588.822,2020,6,High,Urban,2017,No,271.887
H03942,Australia,Australia,Solar,1296.88,2024,7,High,Rural,2012,No,279.755
H00806,South America,Argentina,Biomass,568.191,2021,1,High,Rural,2010,Yes,112.196
H01294,North America,Canada,Solar,1287.364,2024,6,High,Urban,2016,No,314.209
